item,10개정  책자 색인,출처,kcal,water_g,protein_g,fat_g,ash_g,carb_g,당류,자당,포도당,과당,유당,맥아당,갈락토오스,총  식이섬유,수용성  식이섬유,불용성  식이섬유,칼슘,철,마그네슘,인,칼륨,sodium_mg,아연,구리,망간,셀레늄,몰리브덴,요오드,비타민 A,레티놀,베타카로틴,티아민,리보플라빈,니아신,니아신당량(NE),니코틴산,니코틴아미드,판토텐산,비타민 B6,피리독신,비오틴,엽산_ 엽산당량,엽산_ 식품 엽산,엽산_ 합성 엽산,비타민 B12,비타민 C,비타민 D,비타민 D2,비타민 D3,비타민 E,알파  토코페롤,베타  토코페롤,감마  토코페롤,델타  토코페롤,알파  토코트리에놀,베타  토코트리에놀,감마  토코트리에놀,델타  토코트리에놀,비타민 K,비타민 K1,비타민 K2,총 아미노산,총 필수 아미노산,이소류신,류신,라이신,메티오닌,페닐알라닌,트레오닌,트립토판,발린,히스티딘,아르기닌,티로신,시스테인,알라닌,아스파르트산,글루탐산,글라이신,프롤린,세린,타우린,총 지방산,총 필수 지방산,총 포화 지방산,부티르산 (4:0),카프로산 (6:0),카프릴산 (8:0),카프르산 (10:0),라우르산 (12:0),트라이데칸산 (13:0),미리스트산 (14:0),펜타데칸산 (15:0),팔미트산 (16:0),헵타데칸산 (17:0),스테아르산 (18:0),아라키드산 (20:0),헨에이코산산 (21:0),베헨산 (22:0),트리코산산 (23:0),리그노세르산 (24:0),총 불포화 지방산,총 단일 불포화지방산,미리스톨레산 (14:1),팔미톨레산 (16:1),헵타데센산 (17:1),올레산 (18:1(n-9)),박센산 (18:1(n-7)),가돌레산 (20:1),에루크산 (22:1),네르본산 (24:1),총 다가 불포화지방산,리놀레산 (18:2(n-6)),알파  리놀렌산 (18:3 (n-3)),감마  리놀렌산 (18:3 (n-6)),에이코사 디에노산 (20:2(n-6)),디호모 리놀렌산 (20:3(n-3)),에이코사 트리에노산 (20:3(n-6)),아라키돈산 (20:4(n-6)),에이코사 펜타에노산 (20:5(n-3)),도코사 디에노산(22:2),도코사 펜타에노산 (22:5(n-3)),도코사 헥사에노산 (22:6(n-3)),오메가3  지방산,오메가6  지방산,총 트랜스 지방산,트랜스  올레산(18:1(n-9)t),트랜스  리놀레산(18:2t),트랜스  리놀렌산(18:3t),식품명_원본,식품군
가라지,0.0,9.0,78.0,81.5,14.8,1.3,1.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.7,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"가라지, 생것",어패류 및 그 제품
가리비,341.27272727272725,35.0,138.1818181818182,59.058181818181815,26.45909090909091,1.8536363636363633,2.6045454545454545,3.3845454545454547,0.038181818181818185,0.0,0.02090909090909091,0.017272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,33.90909090909091,1.799090909090909,43.72727272727273,194.0909090909091,373.90909090909093,722.1818181818181,2.0518181818181818,0.083,0.48000000000000004,4.09,0.09272727272727273,0.18181818181818182,3.727272727272727,1.9090909090909092,21.727272727272727,0.041090909090909095,0.1709090909090909,1.5277272727272726,2.7368181818181814,0.0,0.0,0.20172727272727276,0.045454545454545456,0.009090909090909092,0.15454545454545454,27.363636363636363,24.454545454545453,1.7272727272727273,7.036363636363637,1.1181818181818182,0.0,0.0,0.0,0.509090909090909,0.5081818181818182,0.0009090909090909091,0.0009090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,11178.727272727272,5013.454545454545,450.8181818181818,808.1818181818181,836.1818181818181,287.0,402.8181818181818,485.3636363636364,147.63636363636363,456.8181818181818,232.0909090909091,906.5454545454545,335.6363636363636,180.72727272727272,641.8181818181819,1083.090909090909,1654.909090909091,1297.7272727272727,394.72727272727275,504.8181818181818,71.81818181818181,1.153,0.00818181818181818,0.32445454545454544,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,15.625454545454545,1.741818181818182,185.15545454545455,2.639090909090909,113.48000000000002,0.5836363636363636,0.19545454545454544,0.2072727272727273,4.88,0.056363636363636366,0.8221818181818182,0.44527272727272726,0.09090909090909091,15.44090909090909,0.18181818181818182,3.494545454545454,3.460909090909091,6.564545454545455,0.8318181818181819,0.0,0.3769090909090909,2.6545454545454543,1.75,0.09090909090909091,2.6681818181818184,0.21363636363636365,0.6,3.6363636363636362,56.222727272727276,0.3045454545454545,3.122727272727273,54.68181818181818,0.10454545454545455,0.011818181818181818,0.0036363636363636364,0.4981818181818182,0.23272727272727273,2.9490909090909088,"가리비, 생것",어패류 및 그 제품
가물치,0.0,9.0,86.0,79.6,18.2,0.8,1.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1.1,0.0,193.0,401.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.08,0.12,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"가물치, 생것",어패류 및 그 제품
가시망둑,0.0,9.0,101.0,75.4,22.4,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.7,0.0,202.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.05,0.12,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"가시망둑, 생것",어패류 및 그 제품
가시오갈피,330.5,15.0,69.5,78.25,5.46,0.7749999999999999,1.585,13.93,2.275,0.67,0.365,0.7250000000000001,0.24,0.0,0.28,9.95,4.449999999999999,5.5,197.5,2.8150000000000004,51.0,95.0,573.5,1.0,1.08,0.152,4.627000000000001,1.045,4.335,3.16,639.5,0.0,7670.5,0.2445,0.5005,1.2120000000000002,1.2120000000000002,0.7155,0.4965,0.0,0.0,0.0,0.0,189.5,189.5,0.0,0.0,81.39,0.0,0.0,0.0,3.045,2.71,0.0,2.605,2.425,0.0,0.0,0.0,0.0,280.815,280.815,0.0,3583.5,1774.5,169.5,366.0,142.5,70.0,234.0,203.5,0.0,219.0,102.5,267.5,145.5,15.5,249.0,323.5,463.0,229.0,130.5,233.0,20.0,0.74,0.52,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.015,0.0,8.065,0.0,0.0,0.0,0.0,0.0,0.58,0.060000000000000005,0.0,0.0,0.0,14.91,42.57,0.0,0.0,0.0,0.52,222.92,300.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.0,0.0,0.0,0.0,"가시오갈피, 순, 생것",채소류
가오리,331.0,23.8,129.0,65.74,22.68,0.6799999999999999,3.7399999999999998,7.159999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.2,3.1399999999999997,0.0,463.8,22.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.036,0.09,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"가오리, 나비가오리, 생것",어패류 및 그 제품
가자미,69.08333333333333,16.25,89.25,78.70833333333333,18.716666666666665,0.9833333333333334,1.3,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,204.08333333333334,77.16666666666667,49.416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,4.583333333333333,4.583333333333333,0.0,0.08833333333333333,0.16833333333333333,2.558333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"가자미, 생것",어패류 및 그 제품
가재,973.5,16.0,83.75,79.5275,17.009999999999998,1.3875,1.585,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.9175,25.0,253.5,207.0,115.5,1.5899999999999999,1.141,0.2195,17.075000000000003,0.0,0.0,53.0,52.75,3.75,0.16,0.08675000000000001,1.972,4.2219999999999995,0.0,0.0,0.35650000000000004,0.061,0.0,0.0,24.0,24.0,0.0,4.2875,0.525,0.0,0.0,0.0,1.7875,1.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,12618.25,6291.25,613.25,998.5,1111.25,348.0,527.0,530.0,169.0,621.25,284.0,1089.0,442.5,146.75,679.75,1294.75,2018.75,767.5,462.25,514.75,0.0,0.5545,0.0125,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,12.5,3.0,85.75,2.75,34.0,0.75,0.0,0.0,0.0,0.0,0.407,0.162,0.0,32.5,2.5,0.0,0.0,11.5,19.0,3.5,0.245,2.5,0.5,0.0,1.5,0.0,1.0,8.5,83.25,0.0,6.5,51.25,0.065,0.015,0.0,0.0,0.0,0.0,"가재, 갯가재, 생것",어패류 및 그 제품
가지,166.25,16.25,87.5,71.80000000000001,4.515,0.6575,3.14,19.887500000000003,5.597499999999999,1.43,1.9025,2.265,0.0,0.0,0.0,9.55,2.55,6.325,71.5,1.1625,68.5,147.75,1035.5,223.5,1.0050000000000001,0.26375,0.50925,0.605,21.04,0.455,15.25,0.0,183.0,0.052000000000000005,0.26525,1.10175,1.56025,0.08225,0.9195,1.28575,0.0175,0.03175,1.4175,63.75,63.75,0.0,0.0,1.75,0.0,0.0,0.0,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5075,15.0075,0.0,3315.75,1386.0,137.25,235.25,157.5,22.0,148.0,171.25,27.75,174.75,96.0,216.25,70.0,9.5,192.25,462.0,752.75,132.0,151.75,159.5,0.0,0.61,0.305,0.2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.605,0.0,75.94749999999999,12.4075,0.0,0.0,0.0,7.8025,0.32,0.0175,0.0,0.0,0.0,17.0775,0.0,0.0,0.0,0.0,0.3025,224.865,80.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2225,0.0225,8.1625,15.5325,0.0,"가지, 생것",채소류
각시수랑,0.0,9.0,70.0,80.0,15.0,0.3,3.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.1,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"각시수랑, 생것",어패류 및 그 제품
