식품명,식품대분류명,kcal,protein_g,fat_g,carb_g,sodium_mg,water_g,ash_g,sugar_g,dietary_fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,alpha_linolenic_acid_g,linoleic_acid_g,omega3_g,omega6_g,oleic_acid_mg
가래떡,빵 및 과자류,202.5,3.96,0.795,44.92,245.5,49.55,0.74,0.03,0.6499999999999999,8.5,0.215,43.0,25.0,0.0,0.20500000000000002,0.0,0.005,0.09,0.0,0.0,50.0
가래떡_흑미,빵 및 과자류,204.99999999999997,3.5000000000000004,0.0,47.8,225.99999999999997,48.1,0.6,0.0,0.0,8.0,1.3,52.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
가오리찜,찜류,65.5,12.344999999999999,1.115,1.99,139.0,59.1,0.215,0.38,1.85,17.5,0.255,31.5,67.5,47.695,0.20500000000000002,0.0,0.030000000000000002,0.305,0.03,0.19,213.72
가오리콩나물찜,찜류,28.999999999999996,2.68,0.84,3.5000000000000004,111.00000000000001,42.5,0.0,0.69,1.3,27.0,0.42,60.0,125.0,4.13,0.15,0.0,0.05,0.37,0.0,0.0,176.65
가오리회무침,생채·무침류,47.0,4.7,0.4699999999999999,6.47,164.0,48.1,0.0,3.54,1.3,54.0,0.37,126.0,154.0,16.06,0.09,0.0,0.01,0.18,0.04,0.19,84.83
가자미 매운탕,찌개 및 전골류,31.0,4.45,0.815,1.45,121.5,23.0,0.0,0.37,0.55,12.0,0.22999999999999998,45.5,124.0,18.0,0.14,0.0,0.01,0.08,0.11,0.1,122.28
가자미구이,구이류,146.83333333333334,18.666666666666668,6.938333333333333,1.4633333333333336,486.5,61.900000000000006,0.7166666666666668,0.10333333333333333,0.3,83.0,0.5083333333333333,191.83333333333334,297.8333333333333,86.80666666666666,1.1500000000000001,0.03166666666666667,0.225,1.7400000000000002,0.18666666666666668,0.4666666666666666,1025.8516666666667
가자미식해,젓갈류,134.0,11.09,4.81,11.64,685.0,69.3,3.16,3.71,4.1,296.0,1.16,241.0,252.99999999999997,73.81,0.7,0.03,0.05,0.58,0.0,0.0,360.0
가자미조림,조림류,119.2,16.054,3.364,5.872,506.4,73.74,0.44000000000000006,2.19,1.4400000000000002,57.6,0.708,168.6,377.4,70.03,0.5780000000000001,0.006,0.034,0.438,0.292,0.39200000000000007,654.882
가자미찜,찜류,77.5,11.75,1.95,2.73,344.5,59.45,0.0,0.7749999999999999,0.7,27.0,0.52,115.49999999999999,287.5,49.275000000000006,0.34,0.0,0.01,0.07,0.29,0.11,301.13
가자미튀김,튀김류,159.5,12.9,9.45,4.215,486.5,42.65,0.0,0.005,0.15000000000000002,25.0,0.49500000000000005,118.0,215.5,65.84500000000001,1.505,0.0,0.475,3.695,0.78,3.735,1830.1850000000002
가죽나물무침,생채·무침류,76.0,5.83,1.35,10.05,276.0,80.9,1.8500000000000003,3.81,6.2,69.0,2.38,109.00000000000001,448.00000000000006,0.0,0.19,0.01,0.14,0.39,0.0,0.0,240.0
가지김치,김치류,36.0,2.1,0.77,6.22,1592.0,81.1,0.0,2.45,3.5000000000000004,62.0,0.7,57.99999999999999,292.0,5.54,0.15,0.0,0.01,0.34,0.03,0.34,196.66
가지나물,나물·숙채류,36.6,1.484,1.52,4.834,306.2,79.62,0.22400000000000003,2.1719999999999997,2.56,21.0,0.33999999999999997,42.0,224.2,0.0,0.24,0.0,0.028000000000000004,0.618,0.004,0.31,523.902
가지냉국,국 및 탕류,19.0,1.1,0.39,3.42,654.0,52.5,0.0,1.4,1.9,16.0,0.27,30.0,168.0,0.0,0.08,0.0,0.01,0.17,0.01,0.17,115.23999999999998
가지볶음_가지,볶음류,35.0,0.9000000000000001,2.17,3.36,206.99999999999997,52.800000000000004,0.0,1.55,1.6,12.0,0.22,25.0,139.0,0.01,0.33,0.0,0.13,1.02,0.0,0.0,525.52
가지볶음_가지_고추,볶음류,27.0,0.91,1.27,3.36,163.0,54.2,0.0,1.6500000000000001,1.6,11.0,0.21,24.0,142.0,0.0,0.2,0.0,0.07,0.63,0.0,0.0,271.1
가지볶음_가지_당근,볶음류,37.0,0.93,1.94,4.56,169.0,60.5,0.0,2.21,1.7000000000000002,13.0,0.22,27.0,155.0,0.01,0.3,0.0,0.16,0.91,0.0,0.0,430.39
가지전,전·적 및 부침류,85.0,2.8160000000000003,4.704,7.736,355.0,56.4,0.316,1.064,1.6199999999999999,16.6,0.43199999999999994,45.4,141.0,36.396,0.9280000000000002,0.02,0.25599999999999995,2.226,0.184,1.484,1201.28
가지찜,찜류,120.0,5.6,6.26,10.225000000000001,401.5,100.29999999999998,0.0,2.64,2.9,21.0,0.925,80.0,313.5,15.810000000000002,2.3449999999999998,0.0,0.02,0.525,0.02,0.545,2237.205
가지탕수,튀김류,159.66666666666666,2.266666666666667,6.746666666666667,21.993333333333336,244.66666666666666,71.53333333333333,0.0,4.346666666666667,2.1999999999999997,22.0,0.3633333333333333,76.66666666666667,194.0,0.0,1.0266666666666666,0.0,0.4366666666666666,3.436666666666666,0.4366666666666666,3.4433333333333334,1307.03
간자장,면 및 만두류,135.66666666666666,4.6499999999999995,3.6966666666666668,20.58666666666667,406.0,65.16666666666667,0.9266666666666667,1.8533333333333335,2.566666666666667,17.0,0.32,48.333333333333336,156.0,6.303333333333334,0.9666666666666667,0.023333333333333334,0.16333333333333333,1.58,0.0,0.0,1085.2033333333334
간자장_해물,면 및 만두류,151.0,6.9,3.18,22.69,380.0,54.7,0.0,2.45,1.6,27.0,0.8100000000000002,75.0,220.00000000000003,28.99,0.66,0.0,0.15,1.32,0.0,0.0,630.94
간재미회무침,생채·무침류,47.0,4.73,0.4699999999999999,6.47,164.0,48.1,0.0,3.5699999999999994,1.3,54.0,0.37,126.0,154.0,16.06,0.09,0.0,0.01,0.18,0.0,0.0,84.75
갈매기살구이_돼지고기,구이류,312.0,26.979999999999997,22.6,0.28,124.0,48.8,1.32,0.0,0.0,13.0,2.64,249.00000000000003,372.0,96.84,9.82,0.05,0.0,0.0,0.0,0.0,0.0
