epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.658,3.00794,4.94453,3.88525,0.003,0.3366,0.00898,0.00289,2.75702,4.04866,3.51053,0.00332831,0.00332831,0.00332831
2,258.583,2.18674,4.02558,2.85509,0.33799,0.13433,0.10573,0.04906,2.02439,3.21972,2.6759,0.00661768,0.00661768,0.00661768
3,382.634,1.79944,3.44787,2.37556,0.25082,0.2894,0.16113,0.08551,1.81695,3.56926,2.41391,0.00986305,0.00986305,0.00986305
4,508.417,1.67311,3.15973,2.20468,0.23831,0.33149,0.22705,0.12317,1.69203,2.77763,2.24065,0.009802,0.009802,0.009802
5,629.737,1.6146,2.91212,2.12372,0.38648,0.34034,0.30558,0.16717,1.63283,2.44563,2.17955,0.009736,0.009736,0.009736
6,753.264,1.56536,2.73016,2.05622,0.40987,0.39642,0.35768,0.19246,1.61608,2.34106,2.15151,0.00967,0.00967,0.00967
7,878.753,1.52553,2.58993,2.00553,0.36159,0.43124,0.39144,0.20358,1.65715,2.23958,2.15431,0.009604,0.009604,0.009604
8,1004.31,1.49809,2.5031,1.97161,0.38698,0.42947,0.39356,0.21586,1.56898,2.16758,2.04064,0.009538,0.009538,0.009538
9,1130.64,1.46961,2.41105,1.93707,0.45578,0.47489,0.44307,0.25418,1.51479,1.96494,1.97058,0.009472,0.009472,0.009472
10,1252.56,1.45041,2.33627,1.907,0.53737,0.42203,0.45462,0.26319,1.55479,1.9921,2.05794,0.009406,0.009406,0.009406
11,1374.35,1.43237,2.26084,1.88225,0.41193,0.49592,0.46145,0.27298,1.44795,1.92335,1.96024,0.00934,0.00934,0.00934
12,1503.13,1.41107,2.17089,1.86816,0.48055,0.53966,0.51304,0.29283,1.50978,1.77515,1.99528,0.009274,0.009274,0.009274
13,1631.57,1.40142,2.14702,1.85347,0.4757,0.53544,0.52613,0.31732,1.42893,1.77517,1.92075,0.009208,0.009208,0.009208
14,1756.84,1.38568,2.06632,1.83248,0.55774,0.53889,0.56167,0.33587,1.40793,1.68346,1.87648,0.009142,0.009142,0.009142
15,1882.2,1.37166,2.03304,1.82225,0.58674,0.50451,0.54472,0.33414,1.38416,1.80708,1.87066,0.009076,0.009076,0.009076
16,2010.27,1.36242,1.98967,1.81299,0.54016,0.58876,0.5844,0.36184,1.38768,1.62277,1.88121,0.00901,0.00901,0.00901
17,2136.03,1.35274,1.94627,1.80476,0.58401,0.55517,0.59428,0.36104,1.41084,1.6151,1.90136,0.008944,0.008944,0.008944
18,2261.4,1.33648,1.89649,1.79279,0.58372,0.57056,0.59916,0.3789,1.31835,1.55904,1.80886,0.008878,0.008878,0.008878
19,2386.72,1.32583,1.87009,1.77614,0.61094,0.597,0.63648,0.39941,1.29775,1.51112,1.78724,0.008812,0.008812,0.008812
20,2512.38,1.31593,1.81597,1.76569,0.59981,0.6179,0.63843,0.40002,1.33316,1.4651,1.81388,0.008746,0.008746,0.008746
21,2637.23,1.3135,1.799,1.76154,0.66446,0.60282,0.65034,0.40882,1.30963,1.46535,1.79668,0.00868,0.00868,0.00868
22,2762.08,1.2986,1.75973,1.74242,0.66276,0.6105,0.66467,0.41454,1.32602,1.4229,1.77605,0.008614,0.008614,0.008614
23,2887.05,1.30081,1.7403,1.74463,0.69909,0.60468,0.67846,0.43287,1.29025,1.38633,1.75794,0.008548,0.008548,0.008548
24,3011.98,1.2872,1.70783,1.72952,0.67839,0.607,0.67721,0.43519,1.2791,1.36434,1.75412,0.008482,0.008482,0.008482
25,3136.7,1.2828,1.68188,1.72502,0.65395,0.58243,0.66674,0.4325,1.29833,1.41868,1.76866,0.008416,0.008416,0.008416
26,3261.89,1.27263,1.63167,1.71319,0.68932,0.60661,0.69414,0.44413,1.29078,1.33288,1.74585,0.00835,0.00835,0.00835
27,3387.54,1.26125,1.63221,1.69931,0.671,0.63696,0.70482,0.45639,1.2577,1.30784,1.71961,0.008284,0.008284,0.008284
28,3512.63,1.26021,1.59956,1.6933,0.67104,0.65129,0.70845,0.45651,1.27628,1.25783,1.71206,0.008218,0.008218,0.008218
29,3637.81,1.25247,1.58279,1.68746,0.68357,0.66601,0.71458,0.46247,1.28318,1.25433,1.7326,0.008152,0.008152,0.008152
30,3763,1.24697,1.55663,1.68772,0.66797,0.68746,0.72867,0.4659,1.24475,1.24927,1.70763,0.008086,0.008086,0.008086
31,3886.93,1.2485,1.53603,1.68854,0.7019,0.66622,0.73846,0.48099,1.24189,1.20454,1.7053,0.00802,0.00802,0.00802
32,4014.81,1.23403,1.52355,1.67431,0.70424,0.66083,0.73291,0.48229,1.25091,1.20509,1.7034,0.007954,0.007954,0.007954
33,4140.43,1.2236,1.49781,1.66763,0.73524,0.64536,0.74388,0.49216,1.21951,1.18163,1.67105,0.007888,0.007888,0.007888
