epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77657,1.98258,4.99183,2.29384,0.39484,0.66667,0.66333,0.4909,1.26848,3.54683,1.87663,0,0,0
2,2.26733,1.96294,5.47965,2.38298,0.39484,0.66667,0.66333,0.4909,1.26284,3.54035,1.86786,8.04654e-07,8.04654e-07,8.04654e-07
3,2.77147,2.19939,5.0004,2.57118,0.39484,0.66667,0.66333,0.4909,1.25464,3.55323,1.8635,1.59862e-06,1.59862e-06,1.59862e-06
4,3.16972,2.04999,5.62838,2.44227,0.47731,0.25,0.46972,0.32221,1.24571,3.58242,1.8608,2.38189e-06,2.38189e-06,2.38189e-06
5,3.65011,2.08718,5.75679,2.44595,0.47032,0.25,0.46972,0.32221,1.23678,3.59823,1.85279,3.15446e-06,3.15446e-06,3.15446e-06
6,4.22303,2.04367,5.66323,2.46276,0.6342,0.25,0.46972,0.32221,1.23514,3.61305,1.85343,3.91635e-06,3.91635e-06,3.91635e-06
7,4.77917,2.19371,5.20418,2.56749,0.62855,0.25,0.46972,0.32221,1.23409,3.62841,1.85491,4.66754e-06,4.66754e-06,4.66754e-06
8,5.34341,2.07238,4.84798,2.3684,0.62343,0.25,0.46972,0.32221,1.23439,3.63044,1.85582,5.40805e-06,5.40805e-06,5.40805e-06
9,5.90547,2.05698,5.63524,2.3162,0.25714,0.5,0.46972,0.32294,1.22954,3.63595,1.85254,6.13786e-06,6.13786e-06,6.13786e-06
10,6.49189,2.03369,5.46836,2.32131,0.26111,0.5,0.46972,0.32294,1.23176,3.65948,1.85363,6.85697e-06,6.85697e-06,6.85697e-06
11,7.01791,2.09214,5.27038,2.30913,0.26667,0.5,0.46972,0.32294,1.22321,3.68316,1.85352,7.5654e-06,7.5654e-06,7.5654e-06
